ndvi,umidade_solo,precipitacao_72h,temperatura_max,inclinacao_terreno,focos_queimadas,dist_rio_km,historico_eventos,bioma,risco
0.5172,55.61,116.8,31.65,16.08,39,1.495,4,Cerrado,1
0.4164,36.71,62.06,25.7,29.07,10,2.273,2,Sul,1
0.3064,17.34,7.47,41.71,4.24,10,0.731,5,Semiárido,0
0.5947,55.64,106.12,29.33,48.86,4,12.943,4,Mata Atlântica,1
0.6702,46.43,57.12,23.3,0.16,55,6.434,3,Amazônia,0
0.6382,26.94,63.87,34.74,16.84,40,0.237,1,Amazônia,1
0.8989,51.52,71.57,38.69,20.3,48,3.986,1,Amazônia,1
0.6185,79.79,141.9,23.12,14.29,5,2.101,5,Sul,1
0.6959,57.05,113.53,30.5,11.79,17,8.445,1,Mata Atlântica,1
0.1791,18.31,34.56,44.05,8.39,6,2.106,5,Semiárido,1
0.6219,8.59,33.51,40.22,7.3,21,5.166,3,Amazônia,0
0.6739,42.8,86.15,21.53,10.52,13,0.906,3,Sul,1
0.2106,21.24,6.31,39.66,6.6,7,4.091,5,Semiárido,0
0.7787,61.24,113.71,38.32,8.49,30,1.74,4,Amazônia,1
0.8193,95.0,193.47,41.62,22.69,27,0.901,3,Amazônia,2
0.9242,91.29,189.75,35.2,8.37,11,4.828,2,Amazônia,1
0.4141,69.61,118.69,34.5,19.64,79,5.089,2,Cerrado,1
0.3561,74.96,155.55,28.39,33.89,10,20.478,2,Mata Atlântica,1
0.6148,45.84,95.85,22.41,8.44,18,5.53,5,Cerrado,0
0.3226,26.72,38.67,25.84,20.44,36,3.625,3,Cerrado,1
0.3151,28.51,52.42,33.69,46.77,4,12.187,0,Mata Atlântica,1
0.6471,82.39,186.41,25.03,0.22,9,8.809,1,Amazônia,1
0.5241,32.29,52.24,39.68,1.72,25,3.979,2,Cerrado,0
0.5914,59.79,107.67,25.76,18.82,78,3.581,4,Cerrado,1
0.6785,58.75,84.93,32.44,13.88,6,14.234,1,Mata Atlântica,1
0.2083,28.25,23.67,34.34,10.14,1,4.8,0,Semiárido,0
0.6737,56.51,80.84,34.08,3.65,51,6.255,4,Amazônia,1
0.7803,17.37,3.54,28.55,31.51,18,0.453,4,Mata Atlântica,1
0.625,28.58,35.01,39.47,44.88,6,6.335,2,Mata Atlântica,1
0.9492,42.56,93.26,30.89,20.73,0,1.537,2,Amazônia,1
0.2035,68.32,125.67,36.0,21.06,8,0.614,1,Mata Atlântica,1
